Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
628;21100370022;"Regional Research of Russia";journal;"20799713, 20799705";"Pleiades Publishing";No;No;0,344;Q2;19;66;170;2336;248;170;1,34;35,39;47,95;0;44;United States;Northern America;"Pleiades Publishing";"2011-2024";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Public Administration (Q3)";"Earth and Planetary Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
629;21100384006;"International Journal of Intelligent Unmanned Systems";journal;"20496427, 20496435";"Emerald Group Publishing Ltd.";No;No;0,344;Q3;18;35;61;1033;116;56;1,95;29,51;26,42;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2013-2025";"Automotive Engineering (Q2); Economics and Econometrics (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3)";"Economics, Econometrics and Finance; Engineering; Mathematics"
630;4700152709;"Progress in Industrial Ecology";journal;"14788764, 14768917";"Inderscience Enterprises Ltd";No;No;0,341;Q2;25;14;43;669;82;42;0,68;47,79;45,10;0;8;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2010, 2012-2020, 2022-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Development (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
631;11900154315;"Letters in Spatial and Resource Sciences";journal;"18644031, 1864404X";"Springer Verlag";No;No;0,340;Q3;23;40;60;1520;95;59;1,76;38,00;20,79;1;29;Germany;Western Europe;"Springer Verlag";"2008-2025";"Demography (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
632;100147301;"CESifo Economic Studies";journal;"1610241X, 16127501";"Oxford University Press";No;No;0,338;Q3;36;16;55;790;78;54;1,76;49,38;28,13;4;10;United Kingdom;Western Europe;"Oxford University Press";"2005-2024";"Geography, Planning and Development (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
633;21100853933;"European Journal of Comparative Economics";journal;"18242979";"University Carlo Cattaneo";Yes;Yes;0,338;Q3;9;10;29;418;43;29;1,67;41,80;38,89;0;7;Italy;Western Europe;"University Carlo Cattaneo";"2017-2024";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
634;5800197592;"Economics";journal;"18646042";"Walter de Gruyter GmbH";Yes;No;0,337;Q2;28;18;93;907;146;92;0,65;50,39;32,50;2;10;Germany;Western Europe;"Walter de Gruyter GmbH";"2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
635;21100775078;"Qualitative Research in Financial Markets";journal;"17554187, 17554179";"Emerald Publishing";No;No;0,337;Q3;33;34;84;2616;179;83;2,10;76,94;42,50;0;17;United Kingdom;Western Europe;"Emerald Publishing";"2009-2025";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
636;11700154320;"Journal of Developmental Entrepreneurship";journal;"1793706X, 10849467";"World Scientific";No;No;0,334;Q3;34;32;92;2454;89;83;0,79;76,69;44,83;0;19;Singapore;Asiatic Region;"World Scientific";"2008-2024";"Business and International Management (Q3); Economics and Econometrics (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
637;19400158573;"Journal of Pension Economics and Finance";journal;"14747472, 14753022";"Cambridge University Press";No;No;0,334;Q3;38;29;88;1147;112;88;1,39;39,55;35,82;0;18;United Kingdom;Western Europe;"Cambridge University Press";"2002-2025";"Economics and Econometrics (Q3); Finance (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
638;21100874350;"Baltic Region";journal;"23100524, 20798555";"Immanuel Kant Baltic Federal University";Yes;Yes;0,333;Q2;11;37;111;1304;132;110;1,14;35,24;39,62;0;21;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2018-2024";"Cultural Studies (Q1); History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
639;21100814050;"Millennial Asia";journal;"23217081, 09763996";"SAGE Publications Inc.";No;No;0,333;Q2;14;21;55;1243;107;53;2,64;59,19;30,00;2;12;United Kingdom;Western Europe;"SAGE Publications Inc.";"2014-2025";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Development (Q3)";"Economics, Econometrics and Finance; Social Sciences"
640;21100907367;"Water Economics and Policy";journal;"2382624X, 23826258";"World Scientific";No;No;0,333;Q3;17;28;84;1342;84;74;0,96;47,93;30,56;0;22;Singapore;Asiatic Region;"World Scientific";"2015-2025";"Business and International Management (Q3); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3); Water Science and Technology (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
641;21101046171;"Agraris";journal;"25279238, 2407814X";"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta";Yes;No;0,331;Q3;9;17;51;815;40;49;0,94;47,94;47,22;1;8;Indonesia;Asiatic Region;"Department of Agribusiness, Universitas Muhammadiyah Yogyakarta";"2019-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
642;3900148213;"International Journal of Entrepreneurship and Small Business";journal;"14761297, 17418054";"Inderscience Enterprises Ltd";No;No;0,331;Q3;49;78;232;6007;290;230;0,97;77,01;38,81;0;44;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2025";"Business and International Management (Q3); Economics and Econometrics (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
643;19957;"Economic and Political Weekly";journal;"23498846, 00129976";"Economic and Political Weekly";No;No;0,330;Q2;76;866;2489;10907;988;1562;0,39;12,59;35,46;0;239;India;Asiatic Region;"Economic and Political Weekly";"1978-1980, 1982-1986, 1993, 1995-1997, 2002, 2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
644;21100818507;"Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny";journal;"22195467";"Russian Public Opinion Research Center, VCIOM";Yes;Yes;0,330;Q2;14;114;398;4098;346;397;0,93;35,95;68,47;0;52;Russian Federation;Eastern Europe;"Russian Public Opinion Research Center, VCIOM";"2016-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
645;21100933895;"Resource Recovery and Reuse";book series;"24780510, 24780529";"International Water Management Institute";No;No;0,330;Q2;4;0;7;0;16;7;1,40;0,00;0,00;0;0;Sri Lanka;Asiatic Region;"International Water Management Institute";"2019-2021, 2023";"Economics, Econometrics and Finance (miscellaneous) (Q2); Development (Q3); Health, Toxicology and Mutagenesis (Q3); Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3); Water Science and Technology (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
646;20500195102;"Investigaciones de Historia Economica";journal;"23403373, 16986989";"Spanish Association of Economic History";No;No;0,329;Q3;15;15;60;781;34;57;0,62;52,07;23,08;0;6;Spain;Western Europe;"Spanish Association of Economic History";"2005, 2011-2025";"History (Q1); Economics and Econometrics (Q3)";"Arts and Humanities; Economics, Econometrics and Finance"
647;21100777369;"Managerial Finance";journal;"03074358, 17587743";"Emerald Publishing";No;No;0,329;Q3;52;95;286;5193;473;278;1,56;54,66;31,71;0;43;United Kingdom;Western Europe;"Emerald Publishing";"1996-2025";"Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
648;24982;"Singapore Economic Review";journal;"17936837, 02175908";"World Scientific Publishing Co. Pte Ltd";No;No;0,329;Q3;32;137;305;6801;480;296;1,69;49,64;27,48;0;74;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1983-2025";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
649;8300153204;"B.E. Journal of Theoretical Economics";journal;"19351704, 21946124";"Walter de Gruyter GmbH";No;No;0,328;Q2;27;27;95;827;52;95;0,34;30,63;20,51;0;8;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2003, 2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
650;21100199108;"Contemporary Economics";journal;"23008814, 20840845";"University of Economics and Human Sciences, Warsaw";Yes;No;0,328;Q2;25;29;108;1598;209;106;2,14;55,10;41,18;0;19;Poland;Eastern Europe;"University of Economics and Human Sciences, Warsaw";"2011-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Accounting (Q3); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
651;21100890644;"Journal of Money Laundering Control";journal;"17587808, 13685201";"Emerald Group Publishing Ltd.";No;No;0,327;Q2;33;74;197;2661;302;188;1,36;35,96;26,32;0;64;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Public Administration (Q3)";"Economics, Econometrics and Finance; Social Sciences"
652;72154;"Journal of Agricultural and Food Industrial Organization";journal;"15420485, 21945896";"Walter de Gruyter GmbH";No;No;0,327;Q3;27;13;45;550;55;44;1,45;42,31;40,63;0;4;Germany;Western Europe;"Walter de Gruyter GmbH";"2003-2025";"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting; Economics, Econometrics and Finance"
653;19800188055;"Journal of Financial Crime";journal;"17587239, 13590790";"Emerald Group Publishing Ltd.";No;No;0,326;Q2;38;95;272;5140;409;261;1,34;54,11;37,95;0;58;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1993-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2)";"Economics, Econometrics and Finance; Social Sciences"
654;21101040211;"Forum Scientiae Oeconomia";journal;"23534435, 23005947";"";Yes;Yes;0,326;Q3;19;39;79;2496;165;79;2,43;64,00;50,00;0;21;Poland;Eastern Europe;"";"2017-2024";"Business and International Management (Q3); Economics and Econometrics (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
655;23452;"Voprosy Ekonomiki";journal;"00428736";"Voprosy Ekonomiki";No;No;0,326;Q3;22;91;281;3500;270;281;0,97;38,46;42,07;0;46;Russian Federation;Eastern Europe;"Voprosy Ekonomiki";"1978-1982, 1984-1985, 1996, 1998, 2003-2025";"History (Q1); Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
656;21100376830;"African Journal of Economic and Management Studies";journal;"20400713, 20400705";"Emerald Group Publishing Ltd.";No;No;0,325;Q2;31;39;107;2115;206;105;1,61;54,23;21,35;0;25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
657;22290;"Business and Professional Ethics Journal";journal;"21537828, 02772027";"Philosophy Documentation Center";No;No;0,325;Q3;6;26;48;1273;22;39;0,39;48,96;40,63;0;12;United States;Northern America;"Philosophy Documentation Center";"1979, 1985, 1990-1993, 1996, 1998-1999, 2001, 2018-2024";"Philosophy (Q1); Business and International Management (Q3); Economics and Econometrics (Q3)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
658;26842;"Journal of World Trade";journal;"22102795, 10116702";"Kluwer Law International";No;No;0,323;Q3;38;42;127;526;120;127;0,95;12,52;28,30;4;26;Netherlands;Western Europe;"Kluwer Law International";"1996-2025";"Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
659;21100841770;"Global Journal of Emerging Market Economies";journal;"09749101, 09752730";"SAGE Publications Inc.";No;No;0,322;Q2;16;22;55;1245;80;53;1,21;56,59;36,59;0;16;United Kingdom;Western Europe;"SAGE Publications Inc.";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Business and International Management (Q3); Development (Q3); Global and Planetary Change (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
660;21100945715;"Journal of International Logistics and Trade";journal;"25087592, 17382122";"Jungseok Research Institute of International Logistics and Trade";Yes;Yes;0,321;Q3;9;10;47;579;60;45;1,50;57,90;37,50;0;7;South Korea;Asiatic Region;"Jungseok Research Institute of International Logistics and Trade";"2018-2024";"Economics and Econometrics (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Marketing (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
661;21100885607;"Journal of World Investment and Trade";journal;"16607112, 22119000";"Brill Academic Publishers";No;No;0,320;Q2;25;37;231;1630;126;216;1,00;44,05;39,58;8;23;Netherlands;Western Europe;"Brill Academic Publishers";"2000-2001, 2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Political Science and International Relations (Q2); Business and International Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
662;20097;"Bulletin of Economic Research";journal;"03073378, 14678586";"Wiley-Blackwell Publishing Ltd";No;No;0,319;Q3;37;55;108;2510;116;108;1,00;45,64;20,00;6;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-2025";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
663;21100854712;"Montenegrin Journal of Economics";journal;"18006698, 18005845";"";Yes;Yes;0,317;Q2;24;68;201;1942;362;201;1,95;28,56;50,00;1;34;Montenegro;Eastern Europe;"";"2017-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
664;20060;"Economics of Governance";journal;"14356104, 14358131";"Springer Verlag";No;No;0,315;Q2;32;18;48;841;45;47;0,72;46,72;27,59;4;8;Germany;Western Europe;"Springer Verlag";"2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
665;19900191745;"Indian Growth and Development Review";journal;"17538254, 17538262";"Emerald Group Publishing Ltd.";No;No;0,315;Q3;17;10;61;447;80;58;1,53;44,70;31,58;0;5;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2025";"Business and International Management (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
666;21101082056;"China Economic Quarterly International";journal;"26669331";"KeAi Communications Co.";Yes;No;0,314;Q2;10;25;26;859;36;26;1,38;34,36;29,63;1;17;China;Asiatic Region;"KeAi Communications Co.";"2021-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Geography, Planning and Development (Q3)";"Economics, Econometrics and Finance; Social Sciences"
667;21100389305;"Geneva Reports on the World Economy";book series;"16078616";"Centre for Economic Policy Research";No;No;0,314;Q2;13;3;1;0;5;1;0,00;0,00;0,00;0;1;United Kingdom;Western Europe;"Centre for Economic Policy Research";"2014-2019, 2022-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
668;21100774786;"Journal of Financial Economic Policy";journal;"17576385, 17576393";"Emerald Group Publishing Ltd.";No;No;0,314;Q3;22;40;108;2065;160;108;1,37;51,63;22,99;0;26;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2012, 2014-2025";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
669;21100781878;"Bio-based and Applied Economics";journal;"22806180, 22806172";"Firenze University Press";Yes;Yes;0,313;Q2;24;21;53;1374;70;48;1,11;65,43;42,25;3;14;Italy;Western Europe;"Firenze University Press";"2012-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Environmental Science (miscellaneous) (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science"
670;5400152710;"E a M: Ekonomie a Management";journal;"12123609";"Technical University of Liberec";Yes;No;0,313;Q2;28;47;161;2401;234;161;1,51;51,09;51,56;1;27;Czech Republic;Eastern Europe;"Technical University of Liberec";"2007-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
671;21100851350;"IZA Journal of Development and Migration";journal;"25201786";"Laborwide";Yes;No;0,313;Q2;30;9;52;570;47;52;0,82;63,33;26,32;3;8;Germany;Western Europe;"Laborwide";"2018-2024";"Anthropology (Q2); Demography (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Development (Q3); Geography, Planning and Development (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
672;7100153137;"Transformations in Business and Economics";journal;"16484460";"Vilnius University Press";Yes;No;0,313;Q3;30;102;296;5160;417;281;1,36;50,59;50,51;0;48;Lithuania;Eastern Europe;"Vilnius University Press";"2006-2024";"Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Economics and Econometrics (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
673;8300153115;"Advances in Environmental Accounting and Management";book series;"14793598";"Emerald Group Publishing Ltd.";No;No;0,312;Q2;16;7;14;555;25;13;0,75;79,29;37,50;0;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000, 2003, 2006, 2014, 2017-2020, 2022, 2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Management, Monitoring, Policy and Law (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
674;22698;"American Economist";journal;"23281235, 05694345";"SAGE Publications Inc.";No;No;0,312;Q2;22;21;68;507;49;66;0,69;24,14;23,08;2;7;United States;Northern America;"SAGE Publications Inc.";"1960-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
675;24010;"Constitutional Political Economy";journal;"15729966, 10434062";"Springer New York";No;No;0,311;Q3;34;23;62;1328;54;61;1,02;57,74;16,67;3;8;United States;Northern America;"Springer New York";"1990-2025";"Philosophy (Q1); Law (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
676;16904;"International Finance";journal;"13670271, 14682362";"Wiley-Blackwell Publishing Ltd";No;No;0,311;Q3;44;20;64;990;77;63;1,29;49,50;25,00;1;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2025";"Development (Q3); Finance (Q3); Geography, Planning and Development (Q3)";"Economics, Econometrics and Finance; Social Sciences"
677;23241;"International Journal of Game Theory";journal;"14321270, 00207276";"Springer Verlag";No;No;0,311;Q3;49;24;147;573;86;147;0,60;23,88;22,73;0;0;Germany;Western Europe;"Springer Verlag";"1971, 1973-2025";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
678;100147033;"Journal of Competition Law and Economics";journal;"17446422, 17446414";"Oxford University Press";No;No;0,311;Q3;34;27;50;2349;60;50;1,31;87,00;26,67;9;4;United Kingdom;Western Europe;"Oxford University Press";"2005-2024";"Law (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
679;21101045047;"Journal of Philanthropy and Marketing";journal;"26911361";"John Wiley and Sons Inc";No;No;0,311;Q3;25;30;78;1784;112;76;1,18;59,47;48,68;1;10;United States;Northern America;"John Wiley and Sons Inc";"2021-2025";"Economics and Econometrics (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
680;28440;"Comparative Economic Studies";journal;"08887233";"Palgrave Macmillan Ltd.";No;No;0,310;Q3;31;24;84;1384;82;77;0,81;57,67;26,67;6;19;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996, 2005, 2008-2025";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
681;21101023274;"Finance";journal;"21010145, 07526180";"Presses Universitaires de Grenoble";No;No;0,310;Q3;4;7;29;305;12;28;0,29;43,57;13,33;0;2;France;Western Europe;"Presses Universitaires de Grenoble";"2019-2024";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
682;12100157208;"Journal of Economics and Finance";journal;"10550925, 19389744";"Springer New York";No;No;0,310;Q3;39;40;122;1450;165;122;1,51;36,25;23,66;2;14;United States;Northern America;"Springer New York";"1992-2025";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
683;21100281302;"International Journal of Energy Economics and Policy";journal;"21464553";"Econjournals";Yes;No;0,309;Q2;58;357;1099;14450;1890;1099;1,53;40,48;34,76;8;258;Turkey;Middle East;"Econjournals";"2011-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Energy (miscellaneous) (Q3)";"Economics, Econometrics and Finance; Energy"
684;11500153504;"International Review of Economics";journal;"18634613, 18651704";"Springer Verlag";No;No;0,308;Q2;24;23;73;1233;86;69;1,39;53,61;15,38;6;12;Germany;Western Europe;"Springer Verlag";"2008-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
685;19500157111;"New Medit";journal;"15945685";"Bononia University Press";Yes;Yes;0,308;Q3;26;47;120;2220;156;113;1,14;47,23;45,30;2;32;Italy;Western Europe;"Bononia University Press";"2008-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
686;144934;"Portuguese Economic Journal";journal;"16179838, 1617982X";"";No;No;0,307;Q2;20;18;40;633;59;35;1,41;35,17;31,43;3;8;Germany;Western Europe;"";"2005-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
687;11700154334;"Journal of Derivatives";journal;"10741240";"Portfolio Management Research";No;No;0,307;Q3;51;42;89;1168;63;78;0,66;27,81;20,59;0;4;United States;Northern America;"Portfolio Management Research";"1996-2024";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
688;24228;"Review of Social Economy";journal;"14701162, 00346764";"Routledge";No;No;0,307;Q3;44;21;86;1197;74;82;0,84;57,00;32,50;4;6;United Kingdom;Western Europe;"Routledge";"1942, 1944, 1946-2025";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
689;21100204121;"Agris On-line Papers in Economics and Informatics";journal;"18041930";"Faculty of Economics and Management";Yes;No;0,306;Q2;22;40;119;1619;169;119;1,52;40,48;33,09;0;29;Czech Republic;Eastern Europe;"Faculty of Economics and Management";"2011-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
690;145412;"Decisions in Economics and Finance";journal;"15938883, 11296569";"Springer-Verlag Italia s.r.l.";No;No;0,306;Q2;18;22;124;639;116;115;1,05;29,05;26,67;0;0;Italy;Western Europe;"Springer-Verlag Italia s.r.l.";"1997, 2000-2002, 2005-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)";"Economics, Econometrics and Finance"
691;21100782865;"Real Estate Management and Valuation";journal;"23005289";"De Gruyter Open Ltd";Yes;No;0,306;Q3;14;32;106;1340;120;106;1,06;41,88;53,13;0;18;Poland;Eastern Europe;"De Gruyter Open Ltd";"2014-2025";"Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
692;21101041417;"Indian Economic Review";journal;"00194670, 25201778";"Editorial Office, Indian Economic Review";No;No;0,303;Q2;8;21;54;776;51;51;1,04;36,95;39,39;2;13;India;Asiatic Region;"Editorial Office, Indian Economic Review";"2019-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
693;18300156733;"Foundations and Trends in Marketing";journal;"15550761, 15550753";"Now Publishers Inc";No;No;0,303;Q3;18;8;9;1155;26;9;3,40;144,38;68,75;0;0;United States;Northern America;"Now Publishers Inc";"2006-2007, 2009-2024";"Economics and Econometrics (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
694;21100860542;"South Asian Journal of Macroeconomics and Public Finance";journal;"22779787, 23210273";"SAGE Publications Ltd";No;No;0,303;Q3;10;10;25;485;25;24;1,22;48,50;38,89;1;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"2012-2024";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
695;26829;"Studies on Russian Economic Development";journal;"10757007, 15318664";"Pleiades Publishing";No;No;0,303;Q3;19;81;267;1860;216;267;0,77;22,96;39,50;0;45;United States;Northern America;"Pleiades Publishing";"1993, 1995, 2006-2024";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
696;21100857165;"Margin";journal;"09738029, 00252921";"SAGE Publications Ltd";No;No;0,301;Q2;21;17;57;608;76;57;1,13;35,76;37,93;0;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"2007-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Development (Q3)";"Economics, Econometrics and Finance; Social Sciences"
697;21100874338;"Journal of Public and Nonprofit Affairs";journal;"23813717";"Midwest Public Affairs Conference";Yes;Yes;0,300;Q2;13;23;74;1493;53;66;0,54;64,91;50,00;0;8;United States;Northern America;"Midwest Public Affairs Conference";"2015-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
698;19700170616;"Panoeconomicus";journal;"1452595X";"Savez Ekonomista Vojvodine";Yes;Yes;0,300;Q2;22;31;90;1262;106;87;1,15;40,71;29,63;0;13;Serbia;Eastern Europe;"Savez Ekonomista Vojvodine";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
