period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,avg_bound_upper_se,avg_bound_lower_se,median_bound_upper_se,median_bound_lower_se,avg_bound_upper_se_multiplier,avg_bound_lower_se_multiplier,median_bound_upper_se_multiplier,median_bound_lower_se_multiplier
30,-0.02144760200096336,-0.39324597119456495,0.3566907994890132,-0.635206844674311,0.5996877631946023,-0.7540690431741356,0.717715568244344,0.3770898727265985,0.3758932074448386,-0.018292239892200374,-0.26853262656924004,0.20425319886223917,-0.42831128486992487,0.3560400333653831,-0.49756067229653317,0.4404375048713862,0.24407934336194453,0.23584533531433446,0.35564227072563515,-0.39734080944580197,0.22578710346974415,-0.25413757520653485,0.7327321434522336,-0.7732340168906406,0.4698664468316887,-0.4899829105208693
33,-0.040804944763720284,-0.4113395837303879,0.335942825287692,-0.6516279128448889,0.5762572781838811,-0.769570516781725,0.6923432924846611,0.37306374249644164,0.37218972696108493,-0.03629423068950322,-0.2890924775208349,0.17182366194873108,-0.4316432672984347,0.33165933704378336,-0.5088524977303788,0.4074392888391078,0.24131562257968053,0.23322614692312854,0.3322587977327214,-0.4129946717248052,0.20502139189017732,-0.26952037761263176,0.705322540229163,-0.7851843986858902,0.44633701446985785,-0.5027465245357603
36,-0.03783666478259041,-0.3996290564944916,0.33234553435429803,-0.635204899445023,0.5685344595878715,-0.7504897188793487,0.6824197729190079,0.3661474390411294,0.36443895352809363,-0.03319590801693354,-0.2728313956027748,0.17052392046902567,-0.4086845128163763,0.3268025362395123,-0.4861291527521878,0.40463777267112044,0.23439011690349443,0.22701138606285992,0.328310774258539,-0.40227561831068404,0.2011942088865609,-0.2602072940797935,0.6944582132996684,-0.7667145718387777,0.4355843257900553,-0.4872186801426534
39,-0.0479660977380567,-0.396827717512878,0.30675402316886874,-0.6245330490116058,0.5325281898027986,-0.7350671415102206,0.6413829322786837,0.34956773681066766,0.35069699309696967,-0.033895710925705605,-0.2594324778466568,0.15881426169756532,-0.4014380095742648,0.30819573388573895,-0.46907607180582656,0.37256865914299103,0.22649892135815877,0.22032614872308548,0.30160163907261095,-0.3986630908350264,0.19260321043245315,-0.25422185964879107,0.6511693758832786,-0.749360083931996,0.41910213179061195,-0.47454800837187655
42,-0.0461688871785391,-0.38326239405726414,0.299673770882704,-0.6027698608893195,0.5204236535265554,-0.7096543297442724,0.6264792709460046,0.34113971049875197,0.3389488605193232,-0.030723242263524318,-0.24253963487297983,0.154249984650558,-0.38647132481745594,0.29897231749791314,-0.45550693489386734,0.35831654510154276,0.22547500204236043,0.21789429483610845,0.29497082332021285,-0.38511774769786233,0.1947517597788361,-0.24861753709963277,0.6361105338189649,-0.7240666082171855,0.42022676182119656,-0.4665118319357412
45,-0.04475213904412183,-0.37853981181983093,0.29760642883576127,-0.596618183858022,0.5166376286867035,-0.7027293931129382,0.6222290993241159,0.33759212552084483,0.3370327480057541,-0.02532239528701672,-0.2380257170438233,0.1581453381917639,-0.3866163651806174,0.28659407127539976,-0.4494170560585392,0.34979477577763485,0.22150979540269616,0.21593910345064052,0.292839986476723,-0.38178488704987595,0.19618740011567945,-0.24126149873765723,0.6304321119975679,-0.71881763505563,0.4176971955183756,-0.4572006021882978
48,-0.04036875594636091,-0.3518213778214826,0.2719745186548039,-0.5571384284473846,0.47377958605691484,-0.6569260072026941,0.5715519093486037,0.31076329906116734,0.31623235981909825,-0.02992259041606418,-0.2305260702396011,0.1387284992861493,-0.36155796162341,0.26869569120071274,-0.4325681151659747,0.3313110512680757,0.20981759588289867,0.20770963020203162,0.27039454311480643,-0.35660111576545916,0.17989500546683448,-0.2376322206180958,0.5811578421759738,-0.6728334755845574,0.3897126013497332,-0.4453418508201274
51,-0.03166305550899728,-0.33986925242451976,0.2791987209674287,-0.5420654182008364,0.48052671972693495,-0.6408688239068762,0.5782542629460123,0.3076127519765637,0.3143593955897131,-0.03018235734551214,-0.22878988434980485,0.12669076250341033,-0.37086968000509024,0.2610880085393157,-0.4362068096926366,0.3181422005215457,0.20947701108490657,0.21225143999188406,0.2759496964675664,-0.3460224510987104,0.17929465373939443,-0.2424337973373962,0.5835624484441301,-0.6603818466884235,0.38877166482430103,-0.45468523732928023
54,-0.018897348555942366,-0.3201160275421041,0.2856999935376374,-0.5183761898297643,0.4828441829692659,-0.6150384795629996,0.5787816338670079,0.30173991827398966,0.3077395744948115,-0.026573552710577708,-0.2174278899711624,0.1268236569021636,-0.3564670439346812,0.26300332919814395,-0.42087906595613733,0.31971647754796445,0.2053938498869191,0.20704377319945602,0.2828425697180473,-0.32663692305075387,0.1788202971763414,-0.23361732591003373,0.5845824879920369,-0.6343764975455654,0.3842141470632605,-0.44066109910948975
57,-0.0049008300386942415,-0.3029864719553597,0.29368697371895097,-0.49877836797214026,0.4878565102695583,-0.5941890970224559,0.5821518930332414,0.2977245857591322,0.3023214275053194,-0.016389011745048032,-0.2049397778657106,0.14682289770420057,-0.33600194640026326,0.27697052962921925,-0.39464240634872605,0.33970013331108656,0.2021233148615324,0.20372562394814775,0.29282375572043795,-0.3072222575440136,0.18573430311648437,-0.22011463569319578,0.5905483414795701,-0.609543685049333,0.38785761797801677,-0.42384025964134353
60,-0.021644920207372086,-0.2629591983553841,0.21913575127474785,-0.41873390480479067,0.37454162875406904,-0.49477791718520364,0.4498530719759761,0.23574200671824544,0.24326729709670888,-0.016363338728205286,-0.15796049513392277,0.08974058096800261,-0.27016891640013985,0.20637506473204104,-0.3173949501753241,0.2507486885713067,0.16066897713691886,0.16152290595711105,0.21409708651087336,-0.264912217304081,0.14430563840871358,-0.17788624468531633,0.4498390932291188,-0.5081795144007899,0.30497461554563243,-0.3394091506424274
