period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
30,-0.6268575632965586,-1.0097523157535233,-0.2730432959970891,-1.2590220162287045,-0.04724026198419989,-1.374057970667247,0.06429332329705573,0.356747440913282,0.3727211247435473,-0.41251218741162754,-0.6709374128160899,-0.1759462688893435,-0.8322084918389003,-0.021949895082441856,-0.9162436365421067,0.028611257084075727,0.22511380198832892,0.23546282149791975,-3.3974299354469855,-1.0868639057444285,-0.0399409404524692,0.2693787018310111
33,-0.6075595671842435,-0.9885722539502415,-0.2516173073980258,-1.242654222342414,-0.021725092851844836,-1.36162058440104,0.09198024126019702,0.3607560475209435,0.37719089949208956,-0.3751880089126355,-0.6604088584313441,-0.1326475374852308,-0.8240574330033441,0.001143682502511234,-0.9141998849993975,0.05765807272568854,0.22879352341512768,0.234418465471358,-3.4783178874263956,-1.0844180709722813,-0.026407878228193488,0.31923847992009324
36,-0.6091527878555997,-0.99373591676088735,-0.2490329285183413,-1.2514634393212307,-0.012209073855868235,-1.3716400190940534,0.10607544677279673,0.3641820577919262,0.38289918365295295,-0.3719496427541389,-0.6497504458857264,-0.11171802744383838,-0.8442530342805316,0.012636037854895754,-0.9190333203381548,0.07183361135913163,0.23315599729748004,0.24223260611340114,-3.511691528155965,-1.1378922361409778,-0.021843993061749768,0.44469601639197454
39,-0.6082429881277269,-1.0048139072143014,-0.2360205044143954,-1.2737031375042982,0.011587846335580285,-1.3989034625765098,0.13473501578993494,0.37972211878376233,0.3996407442898907,-0.34097770723590226,-0.626087311428922,-0.07702688627769151,-0.8390006800294829,0.04226403717292383,-0.9246859746931171,0.10735694347643118,0.2471448611842755,0.2524653043655446,-3.491341699434477,-1.1505470276929328,-0.012395666120102938,0.4417979944993834
42,-0.586023738787583,-0.9824773982346425,-0.2148569471354635,-1.246876692593279,0.026760448701736127,-1.372008710011135,0.14935010456838058,0.3794743192706609,0.40044283684054177,-0.2996924180956848,-0.600316286841818,-0.044908809954539546,-0.8019772254998199,0.04904292743928894,-0.8970932665170739,0.12068637017270956,0.24853394289352493,0.25557315871274533,-3.4964388322241406,-1.122775192991875,9.878532292678013e-4,0.44469601639197454
45,-0.5706928917482043,-0.9653499387075556,-0.20115210775708853,-1.227240973946514,0.03742657784674394,-1.3519065301042539,0.15480382548039312,0.3751831231093974,0.3978578368451485,-0.28260155745838517,-0.5748274267660957,-0.031071852820966833,-0.7466445318622087,0.060056135608251245,-0.8487377752567857,0.13109412042326135,0.2515748058741787,0.2550446771588974,-3.519545063318173,-1.090100158951541,0.002813955401400053,0.44110051418460666
48,-0.5565831106994128,-0.9212172319675404,-0.20484863914641338,-1.1628680530501234,0.022320231857284583,-1.2777741697524696,0.1339859635554331,0.3567497426288087,0.3731765206070588,-0.26815402088714646,-0.5239132693172599,-0.030625795271259804,-0.6913752714938406,0.05216261904329422,-0.7946405453594432,0.10447813189796973,0.2461031541808912,0.24658626348511947,-3.519545063318173,-1.0494288772313167,0.013621388660276476,0.44469601639197454
51,-0.5640097956606624,-0.9168222979313551,-0.2137913401210966,-1.1507795063717372,0.01384206080190552,-1.2604777319871776,0.12336101524259319,0.3526977234612655,0.36184182987825436,-0.2616718494451152,-0.5074331083977945,-0.026539453173042155,-0.672978867983124,0.050600992347236494,-0.7569066090772945,0.09679230208966394,0.24641193382780732,0.24901772976750794,-3.519545063318173,-1.0866860087363066,0.01584827144519383,0.28445029297548563
54,-0.5463897167566173,-0.9004394087436262,-0.19476795735388128,-1.134545789864214,0.03302140220287189,-1.244717838389199,0.14795786333268662,0.35451602474604377,0.3634853135978878,-0.24911187299480586,-0.5070577206571416,-0.019149414898183642,-0.660819415586736,0.062079190955317165,-0.7489184376157404,0.10944399863810211,0.2480879518947344,0.2501802673869264,-3.4932722525193958,-1.031540949824647,0.014565153234566378,0.28754067050461196
57,-0.5251764587609336,-0.8823981386123695,-0.17740871972953615,-1.1167935949619983,0.058523038364390725,-1.2275894225200048,0.17675721815913933,0.35391152905337303,0.3654871490469515,-0.23699169227480482,-0.4817670735872997,-0.015621144190062356,-0.6578955945803353,0.07404050139613387,-0.723011776143364,0.12674325587608049,0.24394127837048402,0.25633231745578977,-3.4720882074050152,-0.9947102405716173,0.019167814337717394,0.2907671445401754
60,-0.4402949661648566,-0.7492279675763214,-0.1372961346939086,-0.9527679721387187,0.06175605818022925,-1.0505002385455224,0.1554672170681586,0.3017819243854556,0.31162211266119727,-0.26553182646099766,-0.5298716584394823,-0.03798320386156505,-0.6809255627230832,0.06043412028890342,-0.7650669077855659,0.09857590384508143,0.23463160280512507,0.24777228031684012,-2.008564635562811,-0.8255847965304621,0.012163856072736711,0.2327416757442312
