period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower
33,-0.42179905043860516,-0.9377455555963589,0.15751225589950113,-1.2613631985749116,0.5316350483896289,-1.4123049718870395,0.7073465037100484,0.5613115713240098,0.4874071248782847,-0.20903155803108447,-0.4906461688832794,0.020802562668201706,-0.6587757593125083,0.17102497142044726,-0.7429679118667116,0.24714540646007646,0.2597477063133147,0.2523277685554367
36,-0.4694122125420951,-1.0025692558305375,0.1328799793989993,-1.3375330662666627,0.5157233851236225,-1.4950273812164019,0.6950920706982466,0.5817751399766187,0.5090024431245581,-0.21478345179268848,-0.5265438971807962,0.0033277648666604105,-0.7088652896701141,0.1394927374326972,-0.8110187797736507,0.2192327859163665,0.2773638577564115,0.2670700869807108
39,-0.4712248433450408,-1.030118313692554,0.15243163629144546,-1.378070895898926,0.5512600214604888,-1.5403011280226448,0.7380818734803295,0.6050194626392774,0.5283119038342934,-0.24355679781445172,-0.5235585421678333,-0.0016792842166224939,-0.7491144813924211,0.13256930679436651,-0.8639915790744223,0.21576486801589975,0.2896291298656648,0.2753218580854351
42,-0.49392806775888026,-1.0732576270845626,0.14869599060067412,-1.4297064396474848,0.5544173197538786,-1.5970151797470906,0.7453072997987896,0.6228834928643061,0.5480394207411682,-0.2518926816845856,-0.5471374526275805,-0.010721532789990218,-0.781765207046538,0.10992307324001283,-0.8735837854758395,0.19117235921276332,0.2976184775693015,0.2827369654734674
45,-0.49985255903203857,-1.0907370807907406,0.1519762990546262,-1.4543364004760273,0.561065238989801,-1.6247015582395299,0.7553323295245307,0.6362382804714649,0.5580665317381591,-0.2593094709632615,-0.5617935295736348,-0.008225119478425205,-0.7459244277812911,0.13114286849792037,-0.860135728044432,0.19936295936250278,0.2967021323961089,0.28732844880451436
48,-0.5150740708646716,-1.066481901704767,0.06374773579653784,-1.4024478242762253,0.419382914328397,-1.560142743347199,0.5881786151833371,0.5672672702962083,0.5171054967040324,-0.2516875369714032,-0.442915605876229,-0.014645000180449785,-0.5778756537738944,0.09393987170789608,-0.6603634930951482,0.17244255589679192,0.24683048452616502,0.25084727705894794
51,-0.5235382606648619,-1.0928899779581829,0.06569634662527583,-1.4388755108116116,0.4403780575611525,-1.6012166595258275,0.618778691732988,0.5893762368823883,0.5395004879372024,-0.2917530207179935,-0.482708963682965,-0.034202338569764595,-0.6566841806097742,0.06634490715887986,-0.7195243074380964,0.17246203804737453,0.25670090337104745,0.25478959319897787
54,-0.5313388284793789,-1.1107473497816134,0.06770876558179918,-1.463528042579163,0.4470065801484464,-1.6287951463581496,0.6280319296057607,0.5974699993197548,0.5529226039586279,-0.29394856015600246,-0.4990105976523096,-0.03157095921813202,-0.6939939413869463,0.05286978991867097,-0.7815181186018378,0.12252396721707692,0.26396756736844235,0.26328104972824046
57,-0.5684161212874889,-1.159985819636053,0.03747120320136614,-1.519004833939944,0.4193286502206225,-1.6870712807602652,0.603572602650187,0.6064639830986398,0.5624763623744609,-0.3119849158552895,-0.5298667117102736,-0.032047405428601,-0.734830549199887,0.04357613425591417,-0.7974175883961264,0.10509306007038499,0.2643777225996389,0.2604032009368592
60,-0.5902538095011445,-1.1230500032666382,-0.016997914430595323,-1.437056978705869,0.3368532976583062,-1.5825866530871922,0.5047800514737157,0.5665374945669308,0.5052953395129893,-0.30830492668515597,-0.5300315497844492,-0.05725646586508377,-0.634449387303443,0.0218694687786816,-0.6960377405870749,0.05867738159194864,0.2538979536046406,0.24418652304263447
