period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,corrected_estimate,estimate_se,corrected_lower,corrected_upper
30,-2.3372721354373565,-2.783984695609119,-1.9142467665025806,-3.0761438234285126,-1.6375795449990265,-3.217692054833446,-1.5035369902315627,0.42538289059502643,0.44920209062040417,-0.4211681235751634,-0.5328027673328206,-0.32307838049365484,-0.7198102230292112,-0.19961440605456648,-0.8104135008077659,-0.1397973215961259,0.23364609493834393,0.2467541999965312,-0.34245776634094305,0.0955547129233829,-0.5278819421028589,-0.15703359057902722
33,-2.403722908421452,-2.885582653828322,-1.9776358881090441,-3.2007287578358197,-1.6989662841431918,-3.353413953706177,-1.5639535947157235,0.4284616045650442,0.48454515122510766,-0.4334952358852529,-0.6921241443290485,-0.3620499576316512,-0.8925264213800957,-0.19449276791171177,-0.9896193587044195,-0.11331295319546542,0.2404217909392942,0.26015963540261644,-0.3537646932158095,0.09652213625605299,-0.5410661565398471,-0.16646322989177173
36,-1.9218623597907787,-2.429711020477681,-1.451174983517661,-2.7618544052830742,-1.1433358368532442,-2.922774616960031,-0.9941907901357958,0.47331051844438893,0.5106789028085826,-0.6411946364874466,-0.8787101378277579,-0.4496037304098753,-1.0530565972464891,-0.3754047661898872,-1.1472408808732975,-0.2715041201987859,0.2974421104889713,0.32052886785234425,-0.2858095012109399,0.1485994995127881,-0.5464253777851139,-0.025193624636765777
39,-2.5080521759291368,-3.047997010848432,-2.060370082837029,-3.401131948401905,-1.7675768607081073,-3.572222361462304,-1.6257214168305465,0.4501770267506456,0.542953949117028,-0.5848347954440558,-0.863016765677675,-0.3104760321901825,-1.0449534494532209,-0.1287033046268522,-1.133099987979401,-0.04132060088730383,0.2529730583538065,0.2797322791949195,-0.373370862913897,0.09475194424564544,-0.5572372639115654,-0.18950446191622855
42,-2.558751475312951,-3.1077641569450445,-2.093537756469127,-3.4668296512435353,-1.7892784934325838,-3.640793360869301,-1.6418678652148857,0.4678063563056907,0.5520723309669762,-0.5701140769171276,-0.8553196283883255,-0.40873610873460003,-1.0418498775826515,-0.17543444581441603,-1.1322219534922575,-0.06240207877299797,0.260348759740359,0.2867950028719738,-0.38188457274076437,0.09308894220368207,-0.5625239138322543,-0.2012452316492744
45,-2.5994458922165684,-3.1576718567037005,-2.130066698992715,-3.522763025951306,-1.81693756908443,-3.6996461159792315,-1.6650276627713294,0.4718962338972649,0.5613369594752265,-0.5553938023874605,-0.8466478605966063,-0.43858044286337783,-1.037133956594275,-0.2480725952188957,-1.1294226014740218,-0.13051729069695894,0.26804001882749456,0.29287721795626215,-0.38431395751714514,0.09530961021030218,-0.5692625108093828,-0.19936540422490742
48,-2.4078787305814924,-3.04817171821054,-1.8292152539654394,-3.464521822247242,-1.44936377363472,-3.66623936334042,-1.2652116741616186,0.5802152644688279,0.6401488755775746,-0.910882795258694,-1.2212107542818957,-0.6008964082224791,-1.4241715705421991,-0.45970996097692474,-1.5225040950146411,-0.4188768761675177,0.34085766081554114,0.3594585603923166,-0.3256386978129625,0.13812106593666013,-0.5678773513108781,-0.08340004431504675
51,-2.6410405551627867,-3.2222560574569044,-2.1549412524954477,-3.5982335067479205,-1.837022391547597,-3.7803716538873964,-1.682121072562542,0.4848643693549735,0.5783935194606994,-0.5380910126876803,-0.8386074568083074,-0.44290763731989624,-1.0351513421557639,-0.3428985956508789,-1.1303749265497611,-0.21746062618119455,0.28355037380843234,0.30219122317243635,-0.38797731659829154,0.09880692771489853,-0.5797124238534663,-0.19624220934311673
54,-2.656352802091378,-3.2414101259029566,-2.1676828419078427,-3.6199802779452015,-1.8441591365467829,-3.803374564133743,-1.687415075003245,0.4891519096749298,0.5827451690734661,-0.5393465445485801,-0.8432770879430755,-0.4439163150527361,-1.042053863867324,-0.36553862060717546,-1.1383592618415601,-0.23676965502382608,0.29084370363134515,0.30562434923188186,-0.3882433581663692,0.10103686746024648,-0.5843056694560683,-0.19218104687667
57,-2.6679712903823414,-3.256652895767999,-2.175741707669249,-3.637593401899342,-1.851424213590021,-3.8221361013913455,-1.694075843375887,0.49301273985561334,0.5867184468638809,-0.5475309994545818,-0.8543960198006166,-0.4442694095277886,-1.0550920035179887,-0.3755035839345121,-1.1523272388409422,-0.2439064964404719,0.2975712097258965,0.30857518003234563,-0.3875367386353578,0.10363122752842048,-0.5886334125698017,-0.18644006470091384
60,-3.011630232113931,-3.781363929537571,-2.325932085807793,-4.281224856738975,-1.875380867264673,-4.52338573850064,-1.656916546417608,0.687949899389487,0.7696922304411733,-0.9800025653603328,-1.3224771494985819,-0.6374170170352293,-1.5464625144134787,-0.41335907927832843,-1.6549812264623855,-0.3048052063993959,0.3672245487743243,0.383748089013834,0.15588238249992445,0.6753359170377601,-1.109992747306518,1.4217575123063677
