ccode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BGD,,,,,,,,,,,,,,,2.611807689,1.91711979,2.965405824,4.989642568,4.534053146,5.339445773,5.77134167,6.776746857,7.15570951,9.034443858,12.55462231,13.03952255,12.74331352,13.21453085,14.41493371,15.97003116,16.07409915,15.91990928,14.5455434,15.29431692,16.27119183,20.88176074,18.91199757,19.98663128,20.49663795,20.98723413,21.77938901,24.17959271,26.20812497,26.03862768,27.91340329,29.3438305,31.1657017,32.04283305,34.04219175,36.19103757,40.96132263,42.47024116,43.00066938,41.79475481,43.73612387,44.40697181,37.79864267,40.4489544,40.02474114,39.03446697,39.16105924,39.08201633,38.95556843,
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.80324245,74.86454183,66.44764135,49.24790715,27.53863243,50.70866552,8.546145914,8.944892672,11.47815096,11.95557457,14.33799895,18.77728457,25.89516908,33.144639,39.06344566,42.45044567,58.45850745,66.92029488,68.95856758,68.20166581,65.27895338,65.78328854,66.18685036,59.22654702,54.79459702,52.01975022,49.80388812,50.36142466,49.56078805,51.51035843,48.34652602,44.87416692,
BHR,,,,,,,,,,,,,,,,,,,,,37.55176582,37.38599586,39.73125182,43.21240387,43.59557371,43.58247761,49.32386512,39.04775279,35.31606925,33.20506643,29.84242958,35.26531083,37.86386028,41.86058405,43.70879699,43.09357293,41.61182241,45.00062644,50.07096469,52.31974502,40.51178965,41.8156768,44.53830714,42.125486,43.94291963,43.68435091,44.87775572,53.11805426,64.21337912,71.43726731,67.69726288,69.55268022,69.14357182,69.63066129,63.87876799,73.89610657,,,,,,,,
BHS,,,,,,,,,,,,,,62.7515278,51.34408602,60.24823885,51.39386388,49.5371669,46.19173474,38.74363584,38.64300157,39.90185769,39.64392067,39.05817175,36.09818235,36.20890405,39.66430738,42.74502737,44.02924163,43.49118223,46.31080227,48.70530606,50.81376648,53.94890039,57.02669531,60.07874016,62.34968135,40.28458584,41.51483488,41.10819158,44.80670392,46.91367821,45.82396894,46.16074921,47.9211599,50.36396169,56.6101945,58.5628262,62.10146304,66.07920689,65.1481414,66.01393185,61.84190888,62.66846232,58.93683712,54.84669619,52.51727542,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.77516379,60.22376308,65.61371848,64.06832059,61.84531112,60.54884345,61.71592716,60.83444778,60.21667243,57.96827208,57.17117887,57.52365284,56.65952299,57.16910329,57.65856695,53.34253502,48.21953998,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8038771,28.63419287,35.9356304,42.81137331,37.95861837,21.77755644,22.92620252,23.6327413,27.88276117,25.71702914,26.23616402,27.61402633,28.76890266,32.50825342,29.1729869,,
BLZ,,,,,,,,,,,,,,,,,26.68394262,22.3880153,20.29420396,23.29710145,19.53008344,23.15061127,29.54343073,30.49428863,27.08763507,28.32695627,25.85194015,26.07828119,30.92051017,31.29961862,24.58857477,27.82483399,26.81628472,25.73222284,26.32815295,26.72642249,28.17896876,31.00540319,32.95674824,32.15642691,29.94954618,33.00280522,35.64844959,38.7740934,40.34067219,40.27457199,42.39112544,45.73702822,49.59296624,53.0810135,50.11880542,47.95549651,46.91013535,45.16847894,44.97033216,45.85746206,44.71555099,44.36390342,45.19497733,45.85471945,55.06632151,47.69700785,42.72840808,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02546277,37.80009297,36.96842807,34.69262451,37.01821574,40.342284,40.79309633,44.13690591,46.67965721,50.32242011,58.06611719,63.97377312,64.53471269,67.8542925,71.19817309,,,,
BRA,17.97272656,17.02200798,17.02852855,14.70566238,13.52351449,13.08658763,11.89698834,14.20943913,16.65089303,26.72324965,30.89205987,37.55379743,41.83728619,41.8104102,46.16605948,52.59559389,54.46879498,54.39278096,50.42510735,51.01291063,42.05373828,44.69143382,45.65257234,50.47614083,50.39323009,44.24583339,,,105.3910076,127.7470501,42.08278959,45.15931635,84.4659027,134.1135891,69.52319942,43.49452482,40.77849368,40.85223717,29.53226057,29.8269102,31.14098578,29.00403802,29.64514194,27.68566994,29.37277026,31.83978416,35.42516667,40.69093794,45.78225599,47.49428984,52.76465763,58.0784911,62.5192932,64.23057382,66.02851039,66.82970064,62.19400697,59.4843093,60.21834794,62.79050507,68.69615485,69.68215287,71.77648815,
BRB,,,,,,,,,,,,,,,40.34476779,35.08562468,36.99230319,35.4935072,35.74592069,36.72995624,29.12770138,32.26729139,33.00256301,34.6315366,32.61572536,32.40458554,31.8380983,32.97287048,34.2402633,35.76009913,36.20311342,37.62106299,38.52938171,36.92361446,38.95655188,42.50325185,41.63041649,44.19681592,45.38316273,47.56577396,47.90210819,59.24814209,60.45039433,62.40247702,67.26832632,72.76447179,73.68024658,71.309267,75.61359639,82.79589445,,,85.49881521,83.18286742,81.80246537,82.65309499,82.00327699,82.12274218,80.51489549,77.72752002,86.58512303,82.76121693,73.77019515,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.94993455,37.50752862,35.15214397,44.51195184,36.90784235,28.12043613,27.99214233,31.19211642,33.20796807,41.43628506,44.30138546,39.46180952,35.04039317,35.70555075,39.68988317,36.26937709,31.55563457,
BTN,,,,,,,,,,,,,,,,,,,,,,,,2.723468764,3.170901847,2.743010784,2.79088702,2.615762287,3.058374479,4.473418887,4.286371038,5.601224269,6.8370247,7.093637672,8.910220354,7.969406058,6.960742835,11.51158314,9.817910862,8.667144014,9.161005881,10.09779313,11.4546281,13.37059901,16.28222227,18.56715922,21.96619262,23.97781806,30.70622631,33.23030672,42.45613477,47.94732039,46.80661037,46.73227425,45.00597447,46.43944705,48.18690851,48.31302259,54.84782849,59.37342263,67.55250684,65.02450236,67.87143726,
BWA,,,,,,,,,,,,,9.140833989,12.36293892,17.1156528,19.32343423,20.49242658,17.85509533,14.21351876,12.6408261,11.28955188,15.11641625,12.88072341,12.02550842,12.66627355,8.558429006,8.297221904,7.922109411,6.640473138,7.004369483,9.384531397,11.85936079,14.68729638,14.22814091,13.99025764,11.89344375,10.09004089,9.685510536,12.15594744,13.87316946,14.71113308,16.58616021,19.28015902,19.97736212,21.9357047,19.76342857,20.93623104,23.46175582,26.30225881,29.35643862,27.51492774,27.85352853,32.91046086,33.19446228,32.58369282,35.99436798,32.69064478,33.95222131,34.73966332,35.9371549,39.72842707,34.5561998,29.83607455,
