period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
30,-0.7181141301956697,-1.1194351289782318,-0.28643335707324125,-1.3799001259546508,-0.012752012414578002,-1.5041822773593818,0.11999858563429257,0.3977381998786797,0.40688551699405145,-0.502986427149299,-0.7854435340500976,-0.22093162798697907,-0.960615584579714,-0.11285690125277759,-1.1466824577214405,-0.06204351502558425,0.28615320911964204,0.3215989262957906,-3.2086090090633217,-1.1200697050077066,-0.17394264694035796,0.5302828360000109
33,-0.7221325075159639,-1.132119218379608,-0.2866828900075716,-1.3995021463490074,-0.007966103477215169,-1.5265325768914435,0.12766564676164432,0.41015012696872766,0.4165052316744914,-0.480887498241251,-0.8303744609056116,-0.208031726275727,-0.9876803470826564,-0.08352577374390568,-1.1413289316072417,-0.02234616542893536,0.3198579039757574,0.31810201997311827,-3.0681286951080766,-1.129832579380406,-0.17072740467597675,0.6613852797947619
36,-0.6875400886143866,-1.1140757368122385,-0.24850906193551087,-1.3921907495094203,0.03467797611647218,-1.524439448507955,0.17160154074802014,0.41727949426913735,0.43396155059113806,-0.5770132009090975,-0.8441087336068348,-0.24009013181405778,-1.047504019173438,-0.08702096391820091,-1.2969941563964307,-0.021900783309661248,0.3396613011958513,0.33389001027623144,-2.8631300283369168,-1.1506634971369603,-0.10940915217030273,0.8280075618437361
39,-0.6878238092517157,-1.117606994132547,-0.24655369545272388,-1.3937024685199555,0.037754617190598,-1.527468017418373,0.17369572181753792,0.42232140433125526,0.43967561966900576,-0.5293898778313051,-0.9297497839123605,-0.18436082024875777,-1.28584235121771,-0.04161389306315694,-1.4583657068791278,0.03039961459482339,0.36669103681762116,0.36815794785188666,-2.6610697388848226,-1.115099845416262,-0.10062408365608837,0.48764998451218144
42,-0.6719392905597992,-1.149269287341696,-0.21762628502708142,-1.455943279820985,0.08045636879621697,-1.6019590013457932,0.2242562892225064,0.4448986444395412,0.4766524361642142,-0.627668040586714,-1.0769536640838613,-0.19173834268517265,-1.5164412068332822,-0.01271870431207045,-1.6688059912728699,0.0658381276235338,0.38458168191730274,0.42835330011386796,-2.2949809554700162,-1.1757327416445333,-0.04991588310997365,0.524776493167012
45,-0.5945208460863978,-1.0701121385393313,-0.14654404388688258,-1.3811585464310652,0.1471621555223016,-1.5321329058266249,0.28382534176502455,0.4428165495139398,0.47685912806619596,-0.581502455240529,-1.2439263865402626,-0.16766020119981934,-1.5427657976152684,0.05028301284662551,-1.6630482853838893,0.15637664170384313,0.39918765104800663,0.46122350227132847,-2.1514676648529454,-1.0884903694674657,-8.639560042211147e-4,0.7002068489006771
48,-0.5396128276202438,-1.0767164889698049,-0.03815723411515567,-1.4417545823627316,0.28934546367050057,-1.610089451483399,0.448017308010622,0.5132490160427531,0.5481181334461209,-0.6414891552332578,-1.2522953560197307,-0.12895766320450047,-1.5936319005648736,0.21978066629348508,-1.7952542742366142,0.4023630920913647,0.5634638925328472,0.558586037081994,-1.9402821913462729,-1.034455302850735,0.0788577009248764,1.0661836843825143
51,-0.5183639113418019,-1.0575222178676589,-0.028890487805090896,-1.4123939337592244,0.29574661274737335,-1.5843257988869761,0.45110212803581423,0.4933845954653014,0.5456242899899575,-0.602778033847943,-1.3114393371062023,0.10466425972949389,-1.6012989305731766,0.34547019338991386,-1.7810676243695291,0.49597224298788156,0.5399534402743265,0.5526651816375735,-1.141303128125293,-0.8686227193669744,-0.04080308974580748,0.16341957839563742
54,-0.47508684241766164,-1.0229866635205045,0.03031706287263415,-1.3837298677607714,0.36121828031952724,-1.5585064113953235,0.5214727134710917,0.5083160675437971,0.5551272487809896,-0.373132149529072,-1.1171534179605838,0.20574636698638105,-1.5600024154523284,0.3467915719083042,-1.7575660917741107,0.5564771323013985,0.5319813613451593,0.5519014074465105,-1.141994908490617,-0.8536987021772553,-0.031387226530693604,0.20096649953997675
57,-0.43006945603234403,-0.9815417925237878,0.07196996985434016,-1.344016083656298,0.40221279677920974,-1.5198688588243756,0.5621529328815845,0.5079780981393418,0.5595632238705803,-0.356307560143879,-1.047977331843616,0.23696073747611485,-1.500343473420504,0.33956992021699317,-1.7195104313916603,0.5788862215025574,0.5174139260007703,0.5525096560674762,-1.114833633726907,-0.8368848979599852,0.028271827429817858,0.23104686887041148
60,-0.5853153344066774,-1.2558678643915184,0.021741697390464467,-1.7003211074461646,0.4265976176855743,-1.9145033699759588,0.6209032528189152,0.6186822114696731,0.6791974052246949,-0.5653868665035071,-1.2253259823993459,-0.09461861685439354,-1.4899789945892477,0.3789713548055653,-1.7142165790932196,0.6860276183571006,0.6439233979049337,0.6859622706212767,-1.1249842185931205,-0.8453622366907492,-0.2616548277311533,-0.11530467988858052
