period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5
30,0.1892632767648281,0.037699654785344566,0.36182868461658696,-0.05890897292460371,0.4761250413268934,-0.10513257039096635,0.531498891321035,0.17407352003939194,0.15169232451303397,0.10997770197082304,0.03533060138981424,0.2864945301414872,-0.02402382304624935,0.365936851921003,-0.04732285961201368,0.3975233074832949,0.09593230972631812,0.09712554703815754,-0.05729280540209594,0.01791526205902718,0.40100264893494236,0.7566048444751562
33,0.16432852642596574,0.009735862250454688,0.3433182494369704,-0.08768053989693853,0.4618487671669477,-0.13483399008595695,0.519273815029134,0.18171977221354382,0.1539259944036295,0.1035994412621924,0.008797130756255937,0.2792471520766785,-0.033480087131257046,0.34869579277990503,-0.061309230393952,0.37435032557144615,0.10017708492952705,0.0993401116020469,-0.0752172134251674,0.0053457030967139375,0.37277365540858076,0.7105039885645741
36,0.13823511712241354,-0.015580308531626208,0.3267241774604306,-0.11669411263296625,0.44760296336851696,-0.16568275881354144,0.5074346418583234,0.19210383809606404,0.15874861151497388,0.0902733076711653,0.004005542109945151,0.25115787596786876,-0.035664989806194536,0.33170488752011673,-0.06366307786252295,0.3568560998788718,0.10807422029738287,0.10504280022715093,-0.1881794921458262,-0.002435167367721409,0.2991820406248197,0.6714131586992759
39,0.11587922882871282,-0.039811856768393286,0.3137549607575928,-0.13906287659645697,0.4452919124387453,-0.18728607343011622,0.5097644137407772,0.2008251300301702,0.15753700667734247,0.060576229698660285,-0.01619475926057724,0.21614490238451112,-0.08597384335218289,0.2866832092007433,-0.10975089045832923,0.3149941140540661,0.10742103853516474,0.10416768189859493,-0.204805740279475,-0.025233858525306803,0.2613927422716273,0.6003736065872554
42,0.09038579139637722,-0.06046531953225265,0.2924780735129257,-0.15817357238723173,0.42743000947056736,-0.20503211662352613,0.4929169788265185,0.20463326023854983,0.15430162265058253,0.04944644193187038,-0.033796504820977,0.18833382026133277,-0.09297929816379946,0.257748598479462,-0.12636342569488246,0.29318412626274676,0.10930859923733292,0.10168458495488705,-0.26527502854765844,-0.012990278432432568,0.20533356187806567,0.5006421829563806
45,0.06932318505364689,-0.08108904097111119,0.27166574147980826,-0.1781344339335948,0.40706167281770417,-0.22775903009997006,0.47275994117733094,0.20579606077081422,0.15382623364736644,0.04770339280885996,-0.03905920185866829,0.16564068836254298,-0.10566113600961011,0.23670739756925385,-0.13102045768526346,0.2725207434968413,0.11051072233501302,0.10523910436218278,-0.25720946754840474,-0.02325247235077345,0.17220093604203712,0.38749630442948474
48,0.058120718778138035,-0.08321911949315111,0.2544582493734944,-0.17718965766120873,0.38630287513904316,-0.22268700727411234,0.45022946760718063,0.20151101218196873,0.14505878719174972,0.043276665386265054,-0.04488359651562514,0.1461731914293366,-0.10409162189233423,0.2223912611644406,-0.12565306331500536,0.2636803997072438,0.10408759912178053,0.09770659223579475,-0.24258443420152273,-0.022344338263364995,0.1625345961978325,0.3123036148410568
51,0.03832486922495429,-0.07329614656330512,0.19205475086008342,-0.1492600447626699,0.2962002635065562,-0.1855451338823706,0.3466577427367838,0.16029258163862836,0.11464605315513045,0.03158136602169323,-0.031162864502377353,0.1268176219191643,-0.0755640019972539,0.20494361195200655,-0.08967851577735586,0.23521788445859873,0.09207048826946451,0.08471459639537388,-0.23758490192127407,-0.01159978761189002,0.12506161054142417,0.299882971345901
54,0.026222381087898133,-0.08912062953842491,0.17098051155780783,-0.16412042420098302,0.2705345529807147,-0.20042494487382911,0.3187670320153963,0.1532211708533724,0.11428591803357015,0.022730614973465315,-0.047962793122731294,0.11341178878088237,-0.09024235856074134,0.19754738752903706,-0.10473996314612982,0.22752354684954595,0.09221114326537444,0.0824293770638154,-0.1883805424803709,-0.015318205340001445,0.06049165679769766,0.26235501974572806
57,0.01528811536296379,-0.10226593239765629,0.15129073567839124,-0.1750480730213101,0.24577328549139288,-0.2101506562377714,0.2916264596534783,0.14552170435941564,0.11280689778497761,0.007713174775266616,-0.06743226920239284,0.11339323047654139,-0.1031818565887088,0.18874203365004652,-0.11798684321888944,0.21631121740414866,0.09270625658187386,0.0784650169232477,-0.15032666733513572,-0.027111682416017163,0.05397508082753711,0.22654131148722367
60,5.32740425019452e-4,-0.11193053508619269,0.13483432851344604,-0.18395898577830128,0.22610904090345466,-0.21933981082780127,0.270539828268694,0.1404706173005105,0.11035240411084513,0.005063274185345783,-0.07457737530811598,0.10974794532728561,-0.11560329633024785,0.17538868982294675,-0.13085338189666823,0.2033373321081427,0.09217881810255156,0.07874758711093333,-0.1474153143703228,-0.037108142043523674,0.04778135073027341,0.1204308979649982
