period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
30,-0.4157901258216754,-0.9070812078352822,0.056117929118036446,-1.231230059119567,0.3664812702907215,-1.3832827054352221,0.5123575417230309,0.47073408916584164,0.4838269649209615,-0.21660518675115148,-0.4541981344966114,0.02384181850704773,-0.637058261362236,0.15569933756795928,-0.7180174790926113,0.23544327665662987,0.25696260161049106,0.2585367522896759,-3.056281779185376,-0.8777469775309898,0.06745658534435225,1.1151047648523733,-0.2667681407306637,0.13645184254457654,-0.06618465885904082,0.027057735709037627,-0.03297541627706912,-0.030221525673109075
33,-0.4517368770958283,-0.9676020046903021,0.033118795775163135,-1.3072497732341328,0.3538068110614904,-1.461690250019126,0.5081063424410933,0.48882542216123104,0.5059233590059701,-0.23885751114737647,-0.4985793897691607,0.004670167031585126,-0.6744006219964034,0.1427030029145537,-0.7702706384385722,0.2440997082862344,0.2664472051757419,0.2673817302150204,-3.433932340287382,-0.9367148472348232,0.053488489287006905,1.1358847462699688,-0.30588805816736636,0.09359549335471597,-0.08281931888462403,0.014244196410300856,-0.05388079119408841,-0.04091398415059533
36,-0.5133726803354217,-1.048078878600386,-0.012320081471238184,-1.3947938029650722,0.32422957894757404,-1.568156916515046,0.4816791029273067,0.5134394951234182,0.5252977867155932,-0.2829391462109474,-0.5681777939931458,-0.014624323775255885,-0.7762722413140969,0.12032207058933703,-0.8668534223171628,0.20787323654762532,0.2841012658278626,0.28359758836454385,-3.4091889170794585,-1.1110476537245475,0.03359693984014404,1.1234798366128695,-0.36807634182409815,0.11129109370488939,-0.12349530995452965,0.01252502260214737,-0.06785063636990464,-0.054798185386032594
39,-0.5304656987920346,-1.0862236940435275,-0.012966458840888859,-1.4418272224799902,0.33019326996561904,-1.6142597369211154,0.49905720242875234,0.536844113653648,0.541851114247891,-0.2925048552679502,-0.5907995234673246,-0.022609135798115704,-0.7934853031534825,0.10975505526550522,-0.8981499125186688,0.18732004458073906,0.28816403191907336,0.28181059025175004,-3.637245928729733,-1.100886911805378,0.027090917630834713,1.0831886481245596,-0.3893980642761338,0.11088356305814275,-0.15371650189649633,0.011612953840358202,-0.0776350581566532,-0.06383290864718882
42,-0.5834795730408153,-1.144841502016965,-0.051580158079547786,-1.5021843322839217,0.29372739415453053,-1.6711522402651182,0.4584674837888367,0.5503110172463553,0.5517357868455536,-0.3213763529228508,-0.6338616805338642,-0.0333740932517728,-0.8460221574021745,0.09481307683525418,-0.9366385287637276,0.16910859457580152,0.2975922382059187,0.29125106447668225,-3.8360769162258768,-1.1588913776895344,0.01985712046640413,1.0709070382855184,-0.4310284946980163,0.1384408046559393,-0.1721999528548892,0.006598899347588151,-0.08806862309598142,-0.06980957957962441
45,-0.6178002854509953,-1.2019737373259791,-0.07037171811624625,-1.58155604715905,0.2828687510890701,-1.7600898551231507,0.4536711193223318,0.5755919204174377,0.5761141718889069,-0.3371458523778611,-0.6529578410216825,-0.03685508176999553,-0.8727441943482072,0.09120268641916258,-0.9817539280002309,0.16282832259484067,0.3030566536569134,0.2986723183611657,-4.302471440347704,-1.2722705941469434,0.011984755782191093,1.092178007992888,-0.46730123861290374,0.02496628027199609,-0.20033549773473586,0.0056569371741368914,-0.11075403212448592,-0.0715270874845248
48,-0.6954568145451504,-1.2906406937215384,-0.13335651953478458,-1.6874762899890168,0.23890005044974924,-1.8840300186349321,0.41602229027196147,0.5878489529832983,0.6013804172118199,-0.358086203134243,-0.6757187651690316,-0.04591400362215649,-0.8958023334209282,0.08742106249583174,-1.0063827765998956,0.14535081740329492,0.31342448659094135,0.315437661818446,-4.819593689315555,-1.4112340966889927,0.008959704824549098,1.0907614802050944,-0.5025077043614922,0.007016661420684262,-0.1868229617031985,-0.0010203325108035185,-0.1176028121583221,-0.07268731323991205
51,-0.6890020739499737,-1.3200496332673806,-0.10585103272788268,-1.7186175783007513,0.27020261771319365,-1.9038862516890576,0.45153634359209693,0.614215911471663,0.6116835946299196,-0.35881568597025715,-0.6898601235838641,-0.04910872987561357,-0.892312285198835,0.08084972702304033,-0.9942512402527952,0.1322404839232998,0.31134578303308796,0.3032839201031877,-4.561246106782777,-1.4086769680631457,0.0021430336627982867,1.0555630139220906,-0.49303533183468434,0.0014564906248873068,-0.20564992608064533,-7.327490489922745e-4,-0.11928168749424034,-0.070702605778246
54,-0.7136002180380417,-1.3615341500280673,-0.11612590282893347,-1.7754419946270181,0.2749838643796806,-1.9680419023820337,0.4644385708323904,0.6339346505196359,0.6303560864010488,-0.3760313189769735,-0.7172661417023736,-0.05056115571555511,-0.9052797791860979,0.07763227240812162,-1.003651840833994,0.1339160115239948,0.31695110347640465,0.30562434923188186,-4.731322518372662,-1.436194718900338,-0.002134024911686426,1.0302156969626042,-0.5083674656151526,0.0011850199784707231,-0.2130288776424042,-9.758206686673043e-4,-0.12405646556852,-0.07280223245156385
57,-0.7541024632985539,-1.4228655999904822,-0.13917036678816638,-1.8543051710721667,0.26274718739581365,-2.0559454919009967,0.4600502614036252,0.6488936025766274,0.6521784882641803,-0.38043842162785446,-0.7430906193001832,-0.04343880701267264,-0.9444199567680795,0.07649170404296762,-1.0622512651520657,0.12551692716283516,0.3205586269023441,0.3098693459101094,-4.861104818945181,-1.5091877599714527,-0.01825397610778323,0.9556821346755424,-0.5560726835785287,0.0018944332279010698,-0.22593760728007045,-0.0018320791033579688,-0.1314399217383038,-0.07293073541056562
60,-0.5058829954015743,-1.0522612343912867,-0.013552542750413968,-1.3980457675738567,0.31865273346631173,-1.5675095058691055,0.48045572594421804,0.5009211039654969,0.5339550219817883,-0.27046439773759856,-0.511536119320823,-0.035228949130504394,-0.6636228054235638,0.04824555176131223,-0.7499199457930329,0.09695539225694441,0.21109790634213912,0.2217702797636464,-3.4706160275951934,-1.139873889167856,0.0052597834809749965,1.1712552760784578,-0.43437707894920813,-0.00268101942078535,-0.2981634086282906,-0.009273809055742042,-0.1266913118108409,-0.06556431646458755
